Date,Open,High,Low,Close,Adj Close,Volume
2018-11-28,115.769997,117.250000,115.769997,116.809998,116.809998,982203
2018-11-29,116.099998,116.220001,114.080002,114.419998,114.419998,2105958
2018-12-02,116.349998,118.059998,116.000000,117.610001,117.610001,714498
2018-12-03,118.000000,118.449997,116.349998,116.349998,116.349998,808495
2018-12-04,114.419998,114.419998,111.650002,113.410004,113.410004,1150821
2018-12-05,112.900002,113.589996,111.320000,112.050003,112.050003,1029658
2018-12-06,114.500000,114.779999,112.720001,113.320000,113.320000,815670
2018-12-09,111.739998,112.309998,109.544998,109.889999,109.889999,1034484
2018-12-10,110.209999,111.599998,109.120003,109.769997,109.769997,711080
2018-12-11,109.860001,113.169998,109.629997,113.169998,113.169998,1172574
2018-12-12,113.180000,114.570000,112.680000,114.000000,114.000000,738241
2018-12-13,114.160004,114.180000,112.150002,113.180000,113.180000,956113
2018-12-16,112.199997,113.580002,111.669998,113.260002,113.260002,593819
2018-12-17,111.360001,111.910004,110.400002,110.629997,110.629997,1027491
2018-12-18,110.510002,111.500000,109.320000,109.910004,109.910004,862598
2018-12-19,108.820000,109.870003,107.129997,107.290001,107.290001,1589106
2018-12-20,106.699997,107.570000,103.489998,104.820000,104.820000,2953491
2018-12-23,103.839996,105.930000,103.300003,105.440002,105.440002,515822
2018-12-26,107.000000,108.089996,105.610001,106.040001,106.040001,759837
2018-12-27,106.000000,108.589996,106.000000,108.589996,108.589996,774497
2018-12-30,109.150002,109.629997,108.239998,108.650002,108.650002,505822
2019-01-01,108.190002,109.089996,106.760002,106.849998,106.849998,497113
2019-01-02,106.849998,110.559998,106.739998,109.830002,109.830002,937058
2019-01-03,108.730003,109.410004,107.410004,109.410004,109.410004,680663
2019-01-06,111.500000,111.639999,110.449997,110.570000,110.570000,560126
2019-01-07,110.550003,113.150002,109.779999,112.669998,112.669998,747179
2019-01-08,113.540001,114.114998,112.730003,113.980003,113.980003,754958
2019-01-09,115.239998,115.250000,112.709999,113.949997,113.949997,529886
2019-01-10,114.250000,114.480003,113.160004,113.209999,113.209999,469455
2019-01-13,113.480003,114.040001,113.110001,113.279999,113.279999,299426
2019-01-14,114.500000,115.139999,114.070000,114.980003,114.980003,535732
2019-01-15,115.209999,116.349998,115.040001,116.000000,116.000000,701639
2019-01-16,118.349998,118.349998,116.739998,117.180000,117.180000,763013
2019-01-17,117.849998,118.320000,117.309998,118.199997,118.199997,602853
2019-01-20,118.510002,119.400002,117.680000,117.680000,117.680000,407141
2019-01-21,117.129997,117.660004,115.584999,116.309998,116.309998,419524
2019-01-22,115.500000,116.669998,114.510002,116.290001,116.290001,518098
2019-01-23,117.599998,118.230003,116.510002,117.900002,117.900002,781681
2019-01-24,118.550003,118.550003,117.269997,117.809998,117.809998,1650274
